T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
-20.70,-3783428,2804037,4287258,1,13,1.0,1501399841
-20.30,-3783425,2804038,4287254,1,13,1.0,1501399841
-19.80,-3783428,2804038,4287260,1,13,1.0,1501399841
-19.30,-3783430,2804037,4287259,1,13,1.0,1501399842
-18.90,-3783430,2804036,4287259,1,13,1.0,1501399842
-18.40,-3783431,2804036,4287262,1,13,1.0,1501399843
-18.00,-3783431,2804035,4287260,1,13,1.0,1501399843
-17.50,-3783431,2804038,4287259,1,13,1.0,1501399844
-17.00,-3783430,2804036,4287259,1,13,1.0,1501399844
-16.60,-3783431,2804036,4287257,1,13,1.0,1501399845
-16.10,-3783429,2804036,4287257,1,13,1.0,1501399845
-15.60,-3783429,2804035,4287255,1,13,1.0,1501399846
-15.20,-3783428,2804035,4287254,1,13,1.0,1501399846
-14.70,-3783428,2804037,4287255,1,13,1.0,1501399847
-14.20,-3783430,2804038,4287257,1,13,1.0,1501399847
-13.80,-3783427,2804036,4287255,1,13,1.0,1501399848
-13.70,-3783427,2804036,4287255,1,13,1.0,1501399848
-13.30,-3783427,2804035,4287255,1,13,1.0,1501399848
-12.80,-3783427,2804036,4287252,1,13,1.0,1501399848
-12.40,-3783429,2804038,4287257,1,13,1.0,1501399849
-11.90,-3783431,2804037,4287257,1,13,1.0,1501399849
-11.40,-3783428,2804036,4287252,1,13,1.0,1501399850
-11.00,-3783426,2804035,4287254,1,13,1.0,1501399850
-10.50,-3783427,2804036,4287255,1,13,1.0,1501399851
-10.10,-3783424,2804036,4287251,1,13,1.0,1501399851
-9.60,-3783427,2804038,4287250,1,13,1.0,1501399852
-9.10,-3783427,2804040,4287250,1,13,1.0,1501399852
-8.70,-3783425,2804039,4287248,1,13,1.0,1501399853
-8.60,-3783425,2804039,4287248,1,13,1.0,1501399853
-7.70,-3783426,2804039,4287251,1,13,1.0,1501399854
-7.30,-3783425,2804038,4287249,1,13,1.0,1501399854
-6.80,-3783428,2804037,4287250,1,13,1.0,1501399854
-6.30,-3783427,2804037,4287250,1,13,1.0,1501399855
-5.90,-3783426,2804038,4287253,1,13,1.0,1501399855
-5.40,-3783428,2804037,4287254,1,13,1.0,1501399856
-5.00,-3783428,2804036,4287259,1,13,1.0,1501399856
-4.50,-3783429,2804038,4287256,1,13,1.0,1501399857
-4.00,-3783427,2804037,4287255,1,13,1.0,1501399857
-3.60,-3783429,2804037,4287256,1,13,1.0,1501399858
-3.10,-3783429,2804037,4287256,1,13,1.0,1501399858
-2.60,-3783431,2804036,4287260,1,13,1.0,1501399859
-2.20,-3783429,2804036,4287260,1,13,1.0,1501399859
-1.70,-3783431,2804037,4287260,1,13,1.0,1501399860
-1.20,-3783431,2804038,4287260,1,13,1.0,1501399860
-0.80,-3783430,2804037,4287263,1,13,1.0,1501399861
0.20,-3783427,2804035,4287259,1,13,1.0,1501399861
0.60,-3783430,2804036,4287261,1,13,1.0,1501399862
1.10,-3783428,2804037,4287258,1,13,1.0,1501399862
1.50,-3783430,2804037,4287259,1,13,1.0,1501399863
2.00,-3783429,2804039,4287261,1,13,1.0,1501399863
2.50,-3783431,2804041,4287263,1,13,1.0,1501399864
2.50,-3783431,2804041,4287263,1,13,1.0,1501399864
2.90,-3783432,2804042,4287263,1,13,1.0,1501399864
3.40,-3783435,2804044,4287266,1,13,1.0,1501399865
3.50,-3783435,2804044,4287266,1,13,1.0,1501399865
3.90,-3783437,2804046,4287272,1,13,1.0,1501399865
4.30,-3783438,2804047,4287271,1,12,1.0,1501399866
4.80,-3783441,2804049,4287274,1,12,1.0,1501399866
5.30,-3783446,2804053,4287278,1,13,1.0,1501399867
5.70,-3783447,2804054,4287279,1,13,1.0,1501399867
6.20,-3783452,2804058,4287283,1,13,1.0,1501399867
6.60,-3783457,2804063,4287287,1,13,1.0,1501399868
7.10,-3783462,2804065,4287293,1,13,1.0,1501399868
7.60,-3783468,2804069,4287299,1,13,1.0,1501399869
8.00,-3783476,2804077,4287306,1,13,1.0,1501399869
8.50,-3783480,2804078,4287312,1,13,1.0,1501399870
9.00,-3783487,2804084,4287319,1,13,1.0,1501399870
9.40,-3783496,2804091,4287327,1,13,1.0,1501399871
9.90,-3783502,2804096,4287331,1,13,1.0,1501399871
10.80,-3783520,2804110,4287350,1,13,1.0,1501399872
10.90,-3783520,2804110,4287350,1,13,1.0,1501399872
11.30,-3783528,2804116,4287357,1,13,1.0,1501399873
11.80,-3783535,2804123,4287367,1,13,1.0,1501399873
11.80,-3783535,2804123,4287367,1,13,1.0,1501399873
12.70,-3783557,2804137,4287389,1,13,1.0,1501399874
13.20,-3783567,2804144,4287398,1,13,1.0,1501399874
13.60,-3783582,2804154,4287414,1,13,1.0,1501399875
14.10,-3783593,2804167,4287423,1,13,1.0,1501399875
14.60,-3783603,2804169,4287437,1,13,1.0,1501399876
15.50,-3783627,2804186,4287462,1,13,1.0,1501399877
16.00,-3783638,2804192,4287478,1,13,1.0,1501399877
16.40,-3783656,2804204,4287498,1,13,1.0,1501399878
16.90,-3783670,2804213,4287514,1,13,1.0,1501399878
17.30,-3783685,2804224,4287526,1,13,1.0,1501399879
17.80,-3783705,2804238,4287548,1,13,1.0,1501399879
18.30,-3783721,2804247,4287561,1,13,1.0,1501399880
19.20,-3783755,2804267,4287604,1,13,1.0,1501399880
20.10,-3783796,2804295,4287643,1,13,1.0,1501399881
20.60,-3783813,2804306,4287663,1,13,1.0,1501399882
21.10,-3783841,2804324,4287687,1,13,1.0,1501399882
21.50,-3783861,2804336,4287706,1,13,1.0,1501399883
22.00,-3783881,2804349,4287723,1,13,1.0,1501399883
22.00,-3783881,2804349,4287723,1,13,1.0,1501399883
22.50,-3783913,2804367,4287762,1,13,1.0,1501399884
23.90,-3783983,2804414,4287832,1,13,1.0,1501399885
24.31,-3784003,2804426,4287855,1,13,1.0,1501399886
24.80,-3784026,2804440,4287879,1,13,1.0,1501399886
25.21,-3784062,2804463,4287919,1,13,1.0,1501399887
25.70,-3784086,2804479,4287942,1,13,1.0,1501399887
26.20,-3784109,2804496,4287966,1,13,1.0,1501399887
26.20,-3784109,2804496,4287966,1,13,1.0,1501399887
26.60,-3784147,2804517,4288004,1,13,1.0,1501399888
27.10,-3784173,2804534,4288036,1,13,1.0,1501399888
27.60,-3784200,2804550,4288071,1,13,1.0,1501399889
28.00,-3784241,2804578,4288107,1,13,1.0,1501399889
28.50,-3784270,2804597,4288133,1,13,1.0,1501399890
29.00,-3784299,2804616,4288163,1,13,1.0,1501399890
29.40,-3784345,2804646,4288210,1,12,1.1,1501399891
29.90,-3784376,2804666,4288243,1,12,1.1,1501399891
30.40,-3784405,2804683,4288278,1,12,1.0,1501399892
31.30,-3784487,2804735,4288354,1,13,1.0,1501399893
31.80,-3784521,2804756,4288388,1,13,1.0,1501399893
32.20,-3784569,2804786,4288445,1,13,1.0,1501399894
32.70,-3784602,2804807,4288484,1,13,1.0,1501399894
33.10,-3784637,2804829,4288514,1,13,1.0,1501399894
34.10,-3784729,2804887,4288607,1,13,1.0,1501399895
34.10,-3784729,2804887,4288607,1,13,1.0,1501399895
34.50,-3784767,2804912,4288645,1,13,1.0,1501399896
35.00,-3784804,2804935,4288689,1,13,1.0,1501399896
35.50,-3784863,2804973,4288750,1,13,1.0,1501399897
35.90,-3784902,2805001,4288788,1,13,1.0,1501399897
36.40,-3784943,2805025,4288838,1,13,1.0,1501399898
36.90,-3785005,2805065,4288898,1,13,1.0,1501399898
37.30,-3785048,2805092,4288943,1,13,1.0,1501399899
37.40,-3785048,2805092,4288943,1,13,1.0,1501399899
38.70,-3785196,2805186,4289105,1,13,1.0,1501399900
39.20,-3785242,2805216,4289148,1,13,1.0,1501399900
39.60,-3785308,2805258,4289218,1,13,1.0,1501399901
40.10,-3785356,2805290,4289269,1,13,1.0,1501399901
40.20,-3785356,2805290,4289269,1,13,1.0,1501399901
40.60,-3785403,2805320,4289321,1,13,1.0,1501399902
41.00,-3785478,2805366,4289401,1,13,1.0,1501399902
41.50,-3785528,2805398,4289454,1,13,1.0,1501399903
42.00,-3785578,2805431,4289507,1,13,1.0,1501399903
42.40,-3785656,2805481,4289587,1,12,1.0,1501399904
42.90,-3785709,2805513,4289644,1,12,1.0,1501399904
43.40,-3785758,2805545,4289696,1,13,1.0,1501399905
44.30,-3785894,2805632,4289838,1,13,1.0,1501399906
44.70,-3785948,2805668,4289898,1,13,1.0,1501399906
45.20,-3786036,2805724,4289991,1,13,1.0,1501399907
45.70,-3786094,2805759,4290050,1,13,1.0,1501399907
46.10,-3786152,2805798,4290110,1,13,1.0,1501399907
46.60,-3786244,2805857,4290199,1,13,1.0,1501399908
47.10,-3786304,2805893,4290262,1,13,1.0,1501399908
47.50,-3786363,2805931,4290328,1,13,1.0,1501399909
48.00,-3786425,2805971,4290396,1,13,1.0,1501399909
48.10,-3786425,2805971,4290396,1,13,1.0,1501399909
48.50,-3786522,2806028,4290497,1,13,1.0,1501399910
48.90,-3786588,2806070,4290563,1,13,1.0,1501399910
49.40,-3786657,2806114,4290630,1,12,1.1,1501399911
49.90,-3786758,2806175,4290733,1,12,1.1,1501399911
50.30,-3786827,2806215,4290807,1,13,1.0,1501399912
50.80,-3786895,2806257,4290879,1,13,1.0,1501399912
51.30,-3787000,2806323,4290984,1,13,1.0,1501399913
51.70,-3787071,2806365,4291052,1,13,1.0,1501399913
52.20,-3787145,2806409,4291134,1,13,1.0,1501399913
52.70,-3787257,2806481,4291242,1,13,1.0,1501399914
53.10,-3787332,2806525,4291329,1,13,1.0,1501399914
53.60,-3787409,2806569,4291402,1,13,1.0,1501399915
54.50,-3787606,2806689,4291597,1,13,1.0,1501399916
55.00,-3787683,2806737,4291676,1,13,1.0,1501399916
55.50,-3787809,2806807,4291799,1,13,1.0,1501399917
55.90,-3787893,2806858,4291881,1,13,1.0,1501399917
56.40,-3787976,2806907,4291964,1,13,1.0,1501399918
56.90,-3788104,2806983,4292095,1,13,1.0,1501399918
56.90,-3788104,2806983,4292095,1,13,1.0,1501399918
57.30,-3788190,2807035,4292176,1,13,1.0,1501399919
58.20,-3788410,2807160,4292398,1,13,1.0,1501399920
58.70,-3788499,2807214,4292481,1,13,1.0,1501399920
59.20,-3788593,2807265,4292573,1,13,1.0,1501399920
59.60,-3788731,2807346,4292705,1,13,1.0,1501399921
60.10,-3788824,2807399,4292797,1,13,1.0,1501399921
60.60,-3788920,2807452,4292890,1,13,1.0,1501399922
61.00,-3789067,2807533,4293028,1,13,1.0,1501399922
62.00,-3789262,2807643,4293214,1,13,1.0,1501399923
62.40,-3789413,2807725,4293358,1,13,1.0,1501399924
62.90,-3789515,2807779,4293455,1,13,1.0,1501399924
63.40,-3789619,2807835,4293543,1,13,1.0,1501399925
63.80,-3789777,2807920,4293698,1,13,1.0,1501399925
64.30,-3789886,2807974,4293800,1,13,1.0,1501399926
64.80,-3789992,2808031,4293900,1,13,1.0,1501399926
65.21,-3790155,2808118,4294062,1,13,1.0,1501399927
65.70,-3790265,2808175,4294158,1,13,1.0,1501399927
