T[s],barometer[Pa],wx[dps],wy[dps],wz[dps],ax[g],ay[g],az[g]
-21.00,101190,0.011692,-0.027603,0.007812,0.000576,0.006027,1.002930
-20.50,101190,-0.007812,0.010281,0.007812,0.000184,0.005985,1.002930
-20.00,101190,0.021561,-0.019188,-0.007812,0.000167,0.006210,1.002930
-19.60,101190,-0.007812,0.009853,0.018311,-0.000139,0.005939,1.002930
-18.60,101190,-0.012253,0.007812,-0.012699,0.000195,0.006134,1.002930
-18.20,101190,0.014740,0.013702,0.015308,-0.000130,0.005856,1.002930
-17.70,101190,0.007812,-0.022240,-0.007812,0.000298,0.005768,1.002930
-17.20,101180,-0.007812,0.007812,0.007812,0.000355,0.006119,1.002930
-16.80,101190,-0.008663,-0.018143,0.007812,0.000328,0.005863,1.002930
-16.30,101190,0.023354,-0.012497,-0.007812,0.000173,0.005924,1.002930
-15.90,101190,-0.014797,-0.007812,-0.009033,0.000055,0.005928,1.002930
-15.40,101190,-0.008102,-0.007812,-0.007812,-0.000063,0.005806,1.002930
-14.90,101190,0.014786,-0.022430,-0.007812,0.000222,0.005779,1.002930
-14.50,101190,-0.007812,-0.007812,-0.010593,0.000273,0.005760,1.002930
-14.00,101190,0.012730,0.013615,-0.007812,-0.000008,0.006023,1.002930
-13.50,101190,0.030029,-0.030304,0.020546,0.000198,0.005814,1.002930
-13.10,101190,-0.029884,-0.007812,0.010845,0.000104,0.006203,1.002930
-12.60,101190,0.013161,-0.007812,-0.007812,0.000016,0.005985,1.002930
-12.10,101190,-0.007812,-0.011150,0.013081,-0.000101,0.006424,1.002930
-11.70,101190,-0.008942,0.024651,-0.007812,0.000081,0.006012,1.001953
-11.20,101190,0.007812,-0.010193,-0.018539,-0.000144,0.006207,1.002930
-10.70,101190,0.007812,0.024872,-0.010654,0.000059,0.006073,1.002930
-10.30,101190,0.016518,-0.007812,-0.007812,0.000066,0.006088,1.002930
-9.80,101190,-0.015339,-0.007812,0.007812,0.000051,0.005913,1.002930
-9.40,101190,-0.014275,0.007812,0.009319,0.000851,0.005482,1.002930
-8.90,101190,-0.008850,0.007812,0.007812,-0.000667,0.006493,1.002930
-8.40,101190,-0.024872,0.029343,0.015270,-0.001261,0.005413,1.002930
-8.00,101190,0.026901,0.009285,0.007812,0.000950,0.006413,1.002930
-7.50,101190,-0.015186,-0.016586,0.013836,0.000382,0.006260,1.002930
-7.00,101190,0.034073,0.026863,0.007812,0.000209,0.005493,1.002930
-6.60,101190,-0.013802,0.025421,0.017647,0.000491,0.006199,1.002930
-6.10,101190,0.015877,0.009861,-0.027229,0.000483,0.005039,1.002930
-5.20,101190,0.055511,-0.020485,-0.042419,0.001014,0.006920,1.008789
-4.70,101190,0.034485,0.013809,0.007812,0.001743,0.002985,1.003906
-4.20,101190,-0.007812,0.007812,-0.010960,-0.000756,0.006306,1.000977
-3.80,101190,-0.007812,0.031158,-0.022209,0.000204,0.007988,1.009766
-3.30,101190,-0.021301,-0.007812,0.007812,0.000582,0.005035,1.004883
-2.90,101190,-0.007812,0.007812,0.016159,0.000221,0.003918,1.003906
-2.40,101190,0.007812,0.007812,-0.007812,-0.001493,0.008896,1.002930
-1.90,101190,0.007812,-0.008102,-0.016258,-0.000560,0.006142,1.005859
-1.50,101190,-0.007812,0.028946,-0.008640,-0.000229,0.008904,1.019531
-1.00,101190,-0.007812,0.031616,0.007812,0.001453,0.003738,1.020508
-0.50,101190,0.016899,-0.007812,0.008682,-0.001371,0.001403,1.010742
-0.10,101190,-0.016937,-0.020729,-0.016739,-0.002914,0.005363,0.989746
0.40,101190,0.013088,-0.007812,-0.023766,0.000938,0.007866,0.991699
1.30,101160,0.050217,-0.148987,4.748047,0.011520,0.164062,0.146606
1.80,101160,1.598145,-0.147827,-1.377441,0.002556,0.131958,0.127930
2.70,101120,0.080353,-0.046570,0.290161,0.062439,0.091370,0.397949
2.80,101120,0.080353,-0.046570,0.290161,0.062439,0.091370,0.397949
3.20,101090,-0.125427,0.060287,-0.050140,0.027451,0.067688,0.216797
3.60,101030,-0.431396,0.285645,-0.225342,0.068970,0.033905,0.433105
4.10,101000,-0.465576,-0.045288,0.078125,0.038605,-0.002584,0.271973
4.60,100960,-0.555664,-0.053055,-0.368530,0.115112,0.059143,0.286865
5.50,100830,-0.243713,0.035507,-0.974854,-0.000275,0.074463,0.136841
6.00,100750,0.007812,0.306641,-1.083496,-0.012123,0.088135,0.312500
6.40,100660,-0.108948,0.385864,-0.771484,0.045868,0.076904,0.322266
6.50,100660,-0.108948,0.385864,-0.771484,0.045868,0.076904,0.322266
6.90,100580,-0.092133,0.321045,0.084167,0.013412,0.117249,0.237427
7.30,100480,-0.033203,0.452026,-0.690430,0.027328,0.039886,0.285889
7.80,100390,0.167480,0.345947,-0.574951,0.036682,0.121826,0.368652
8.30,100270,0.189819,0.311279,-0.436768,0.006824,0.053589,0.353760
8.70,100130,0.243042,0.346802,-0.369019,0.020874,0.108093,0.281982
9.20,100010,0.189026,0.341309,-0.066193,0.024490,0.078308,0.375732
9.70,99870,0.119385,0.206848,0.089325,0.008080,0.034149,0.405029
10.10,99710,0.101562,0.235779,0.635010,0.014442,0.059357,0.375000
10.60,99580,0.094696,0.185669,-0.329224,0.058258,0.111938,0.361328
11.10,99410,0.048340,0.223572,0.487671,0.037476,0.066406,0.433594
11.50,99220,0.198608,0.315186,0.632812,0.044220,0.104248,0.536133
11.60,99220,0.198608,0.315186,0.632812,0.044220,0.104248,0.536133
12.00,99050,0.124603,0.271606,0.245789,0.024078,0.121155,0.309814
12.40,98850,0.098633,0.151489,1.115234,0.050903,0.072632,0.279541
12.90,98600,-0.017036,0.276001,0.671387,0.046265,0.075745,0.313965
13.40,98460,-0.065704,0.495605,0.289185,0.020477,0.110291,0.382812
13.90,98220,-0.071136,0.659180,3.447266,0.108582,0.066162,0.305908
14.30,97950,-0.118744,0.619141,12.503906,-0.039215,0.061493,0.120972
14.40,97950,-0.118744,0.619141,12.503906,-0.039215,0.061493,0.120972
14.80,97750,0.198181,0.433105,31.726562,0.064270,0.102783,0.276367
15.30,97490,0.148193,-0.394653,45.312500,0.065796,0.067627,0.393311
15.70,97210,-0.201782,-0.538086,51.937500,0.051239,0.063232,0.394775
16.20,96970,-0.111664,-0.209045,57.796875,0.075500,0.085632,0.318359
16.70,96670,0.515381,0.008595,67.062500,0.066833,0.094238,0.319336
17.10,96360,0.407104,-0.023460,71.125000,0.046082,0.041473,0.184570
17.60,96120,0.229919,-0.007812,72.968750,0.046661,0.082153,0.248047
18.10,95790,0.486694,0.243652,71.656250,-0.019806,0.081665,0.336182
18.50,95540,0.710693,0.283447,60.921875,0.062347,0.080750,0.172852
19.40,94850,0.241760,0.392578,41.281250,0.059509,0.109253,0.653809
20.40,94180,-0.048645,0.324097,22.703125,0.007298,0.086670,0.288818
20.81,93790,-0.157166,0.102753,18.523438,0.052246,0.106323,0.289551
21.30,93480,-0.189148,0.243469,16.125000,0.062683,0.118835,0.352783
21.80,93080,-0.344849,0.027046,16.070312,0.058990,0.059540,0.267822
22.20,92700,-0.274048,0.030495,16.570312,0.027588,0.120422,0.366699
22.70,92340,-0.328735,0.179871,20.976562,-0.022400,0.062317,0.169312
23.20,91900,-0.296631,0.145508,26.453125,0.014626,0.091858,0.403076
23.60,91430,-0.127747,-0.098816,30.546875,0.068481,0.182007,0.609863
24.10,91070,-0.190613,-0.301880,35.296875,0.137085,0.153076,0.255615
25.00,90220,-0.131104,-0.368164,42.328125,0.138794,0.193604,0.502930
25.50,89730,-0.111481,-0.471191,44.937500,0.121033,0.168579,0.468018
26.40,88820,0.517578,-0.426514,46.750000,0.165771,0.143677,0.240845
26.90,88270,0.618164,-0.396851,47.328125,0.049652,0.175903,0.466064
27.30,87720,0.585693,-0.244629,46.953125,0.119812,0.116699,0.315674
27.80,87280,0.542236,0.212708,46.921875,0.056122,0.152710,0.424805
28.70,86170,0.488403,0.539551,44.859375,-0.013855,0.096069,0.479004
29.20,85710,0.295898,0.584473,44.406250,0.076965,0.078857,0.281738
29.30,85710,0.295898,0.584473,44.406250,0.076965,0.078857,0.281738
29.30,85710,0.295898,0.584473,44.406250,0.076965,0.078857,0.281738
29.70,85140,0.120361,0.747314,43.718750,0.034058,0.117920,0.250000
30.10,84550,-0.271606,0.729492,43.703125,0.043427,0.085388,0.217407
30.60,84050,-0.394775,0.657715,43.125000,0.043945,0.057770,0.392090
30.60,84050,-0.394775,0.657715,43.125000,0.043945,0.057770,0.392090
31.10,83460,-0.615967,0.405762,44.359375,0.012245,0.148682,0.379883
31.50,82840,-0.646484,0.330933,45.718750,0.095093,0.115295,0.182129
32.00,82330,-0.615967,-0.175232,47.593750,0.083191,0.104736,0.311035
32.00,82330,-0.615967,-0.175232,47.593750,0.083191,0.104736,0.311035
32.40,81700,-0.591309,-0.310425,49.828125,0.015701,0.146851,0.290039
32.91,81040,-0.292725,-0.342041,51.953125,0.040070,0.132080,0.441895
33.40,80500,0.013863,-0.617432,56.281250,0.112549,0.193848,0.282715
34.30,79230,0.203369,-0.653320,64.375000,0.129028,0.167236,0.375000
34.80,78520,0.231567,-0.576660,67.031250,0.056335,0.056641,0.418457
35.20,77820,0.395142,-0.333374,64.187500,0.001467,0.130981,0.458008
35.70,77260,0.843018,-0.156311,59.093750,0.020660,0.095398,0.504395
35.80,77260,0.843018,-0.156311,59.093750,0.020660,0.095398,0.504395
36.20,76540,0.706787,-0.007812,55.281250,0.017441,0.174927,0.393066
36.60,75840,0.686768,0.133240,55.203125,0.027176,0.159790,0.530762
37.10,75300,0.427002,0.408936,56.640625,-0.037781,0.142212,0.425781
37.60,74560,0.508789,0.720947,61.859375,0.021576,0.151611,0.424805
38.00,73740,0.437500,0.578369,63.968750,0.081787,0.151855,0.492676
38.50,73130,0.423584,0.408203,66.906250,0.112793,0.066467,0.454590
38.90,72370,0.100800,0.499878,68.812500,0.109375,0.101257,0.359863
39.40,71770,-0.035187,0.661621,70.000000,0.062500,0.138184,0.490723
39.90,70970,0.139526,0.779297,72.625000,0.127441,0.138184,0.389893
40.80,69490,-0.539551,0.764160,78.718750,0.019745,0.091125,0.448975
41.30,68640,-0.664307,0.844238,78.312500,0.075195,0.048004,0.435791
41.70,67920,-0.724609,0.469238,77.656250,0.013023,0.081177,0.436279
42.20,67290,-1.127441,0.282959,78.187500,0.076111,0.163330,0.556152
42.70,66470,-0.767334,0.237976,80.031250,0.073425,0.111938,0.233643
43.10,65640,-0.685059,-0.246338,82.437500,0.075806,0.204346,0.447266
43.60,64990,-0.806885,-0.607178,84.875000,0.093140,0.148071,0.317871
44.10,64170,-0.836426,-0.813721,86.781250,0.069275,0.078308,0.356445
44.50,63330,-0.692627,-1.042480,88.093750,0.080505,0.277588,0.504883
45.00,62560,-0.598389,-1.367188,90.531250,0.054047,0.177856,0.280518
45.40,61700,-0.533936,-1.276855,91.593750,0.031342,0.216675,0.421143
45.90,61090,-0.145386,-1.408691,91.906250,0.049377,0.231079,0.280029
46.80,59370,0.671631,-1.618652,99.593750,0.068970,0.263672,0.343262
47.30,58710,1.170410,-2.077148,100.593750,-0.036011,0.203247,0.171631
47.80,57850,1.439941,-1.904785,100.750000,-0.036316,0.190186,0.323975
48.20,56970,1.853027,-1.639160,101.531250,-0.060852,0.212158,0.297119
48.70,56150,2.439453,-1.656738,103.625000,-0.043945,0.267334,0.450439
49.20,55260,3.027344,-1.125000,101.531250,-0.048828,0.158813,0.285889
49.60,54440,3.137695,0.039703,102.531250,-0.085571,0.195068,0.280029
50.10,53740,3.797852,0.840576,105.718750,-0.020020,0.105835,0.401855
50.60,52780,3.859375,1.345215,104.031250,-0.062500,-0.052979,0.282959
51.00,51860,3.365234,2.577148,99.656250,-0.104431,0.003677,0.559570
51.50,51190,2.502930,3.401367,97.656250,-0.080139,-0.044861,0.247925
52.00,50320,1.585449,3.970703,98.218750,0.010307,-0.057587,0.397949
52.40,49340,0.726562,4.630859,100.125000,0.027374,-0.027283,0.487061
52.90,48680,-0.573242,5.013672,108.156250,0.097351,-0.110046,0.355713
53.40,47950,-1.259766,4.806641,136.375000,0.133789,-0.103821,0.504395
53.80,47170,-0.152771,5.093750,155.187500,0.090210,-0.111328,0.499756
54.30,46210,0.583252,4.906250,162.125000,0.104797,-0.095886,0.452393
54.80,44520,0.364380,5.582031,159.875000,0.006905,-0.067627,0.528320
55.20,43660,0.072083,6.195312,151.187500,0.060822,-0.078857,0.478271
55.70,42750,-1.289551,6.003906,162.000000,0.116699,-0.171631,0.426758
56.20,41730,-1.323730,5.388672,188.312500,0.137695,-0.170288,0.393066
56.60,40670,-1.295410,5.349609,194.375000,0.118103,-0.210083,0.306641
57.10,40210,-1.581543,6.085938,181.625000,0.127075,-0.097656,0.464111
57.60,39480,-2.667969,6.224609,188.937500,0.222778,-0.136597,0.359863
57.60,39480,-2.667969,6.224609,188.937500,0.222778,-0.136597,0.359863
58.00,38530,-2.667969,6.191406,210.375000,0.280518,-0.179688,0.277832
58.50,37880,-1.471191,6.189453,229.562500,0.106323,-0.162476,0.504395
59.00,37120,-0.751465,6.064453,209.437500,0.125000,-0.081360,0.359131
59.40,36400,-1.233887,6.281250,207.562500,0.209717,-0.123047,0.488525
59.50,36400,-1.233887,6.281250,207.562500,0.209717,-0.123047,0.488525
59.90,35500,-0.768311,4.386719,230.562500,0.110779,-0.246094,0.433594
60.30,34770,-1.029785,4.970703,212.062500,0.080261,-0.147095,0.419678
60.80,34190,-2.580078,5.283203,212.312500,0.309814,0.023529,0.444336
61.30,33170,-3.862305,4.154297,249.875000,0.327148,-0.245972,0.386230
61.70,32500,-1.964844,6.318359,240.750000,0.089111,-0.159302,0.272217
62.20,31940,-2.741211,7.009766,235.687500,0.236084,-0.163818,0.362061
62.70,31030,-1.221680,5.750000,256.000000,0.209961,-0.215942,0.543457
63.10,30280,-0.342407,5.710938,244.375000,0.130249,-0.229248,0.360596
63.60,29760,-2.650391,4.720703,214.625000,0.141113,-0.096313,0.222046
64.10,28950,-5.306641,5.396484,215.937500,0.417725,-0.125610,0.578125
64.50,28010,-7.296875,7.500000,246.000000,0.528809,-0.328125,0.329346
65.00,27460,-5.593750,10.250000,264.750000,0.347168,-0.395508,0.543945
65.90,26000,2.695312,7.023438,242.687500,-0.132690,-0.371094,0.547852
66.40,25600,-2.674805,3.425781,203.875000,0.093689,0.051483,0.407959
