T[s],control,ignite,v25_state,v21_state,v35_state,v7_state,v10_state,v6_state,v18_state,v22_state,v16_state,v20_state,sequence_time[s]
-20.90,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.50,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.40,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.00,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.50,0x4001,0,close,close,close,close,close,close,close,close,close,close,-19
-19.10,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-18.60,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-18.10,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-17.70,0x4001,0,close,close,close,close,close,close,close,close,close,close,-17
-17.20,0x4001,0,close,close,close,close,close,close,close,close,close,close,-17
-16.70,0x4001,0,close,close,close,close,close,close,close,close,close,close,-16
-16.30,0x4001,0,close,close,close,close,close,close,close,close,close,close,-16
-15.80,0x4001,0,close,close,close,close,close,close,close,close,close,close,-15
-15.30,0x4001,0,close,close,close,close,close,close,close,close,close,close,-15
-14.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-14
-14.40,0x4001,0,close,close,close,close,close,close,close,close,close,close,-14
-13.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-13.50,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-13.00,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-12.60,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-12.10,0x4801,0,close,close,close,close,close,close,close,close,close,close,-11
-11.60,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-11.19,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-10.70,0x4801,0,open,close,close,close,close,close,close,close,close,close,-10
-10.20,0x4801,0,open,close,close,close,close,close,close,close,close,close,-10
-9.80,0x4801,0,open,close,close,close,close,close,close,close,close,close,-9
-9.30,0x4801,0,open,close,close,close,close,close,close,close,close,close,-9
-8.80,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-8.40,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-7.90,0x4801,0,open,close,close,close,close,close,close,close,close,close,-7
-7.40,0x4801,0,open,close,close,close,close,close,close,close,close,close,-7
-7.00,0x4801,0,open,close,close,close,close,close,close,close,close,close,-6
-6.50,0x4801,0,open,close,close,close,close,close,close,close,close,close,-6
-6.00,0x482b,0,open,close,open,close,close,open,close,close,close,close,-5
-5.60,0x482b,0,open,close,open,close,open,open,close,moving,close,close,-5
-5.10,0x482b,0,open,close,open,close,open,open,close,open,close,close,-4
-4.70,0x482b,0,open,close,open,close,open,open,close,open,close,close,-4
-4.20,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-3.70,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-3.30,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-2.80,0x482b,0,open,close,open,close,open,open,close,open,close,close,-2
-2.30,0x482b,0,open,close,open,close,open,open,close,open,close,close,-2
-1.90,0x482b,0,open,close,open,close,open,open,close,open,close,close,-1
-1.40,0x582b,1,open,close,open,close,open,open,close,open,close,close,-1
-0.90,0x482b,0,open,close,open,close,open,open,close,open,close,close,0
-0.50,0x482b,0,open,close,open,close,open,open,close,open,close,close,0
0.00,0x482f,0,open,close,open,close,open,open,close,open,close,close,0
0.40,0x482f,0,open,close,open,close,open,open,moving,open,close,close,0
0.90,0x402f,0,open,close,open,close,open,open,open,open,close,close,1
1.40,0x402f,0,moving,close,open,close,open,open,open,open,close,close,1
1.81,0x402f,0,close,close,open,close,open,open,open,open,close,close,2
3.21,0x402f,0,close,close,open,close,open,open,open,open,close,close,3
3.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,3
4.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,4
4.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,4
5.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,5
5.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,5
6.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,6
6.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,7
7.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,7
7.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,8
8.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,8
8.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,8
9.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,9
9.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,9
10.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,10
10.61,0x402f,0,close,close,open,close,open,open,open,open,close,close,10
11.11,0x402f,0,close,close,open,close,open,open,open,open,close,close,11
12.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,12
12.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,12
13.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,13
13.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,13
13.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,14
14.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,15
15.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,15
15.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,15
16.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,16
16.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,16
17.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,17
17.21,0x402f,0,close,close,open,close,open,open,open,open,close,close,17
17.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,17
18.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
18.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
18.61,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
18.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
18.71,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
19.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,19
19.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,19
20.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,20
20.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,20
20.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,21
21.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,21
21.81,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
21.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
22.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
22.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
23.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,23
23.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,23
24.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,24
24.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,24
25.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,25
25.51,0x402f,0,close,close,open,close,open,open,open,open,close,close,25
26.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,26
26.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,26
26.91,0x402f,0,close,close,open,close,open,open,open,open,close,close,27
27.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,27
27.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,28
28.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,28
28.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,28
29.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,29
30.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,30
31.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,31
31.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,31
32.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,32
33.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,33
33.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,33
33.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,34
34.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,34
34.81,0x402f,0,close,close,open,close,open,open,open,open,close,close,35
35.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,35
36.21,0x402f,0,close,close,open,close,open,open,open,open,close,close,36
36.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,36
37.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,37
37.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,37
38.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,38
38.51,0x402f,0,close,close,open,close,open,open,open,open,close,close,38
39.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,39
39.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,39
39.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,40
40.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,40
40.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,41
41.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,41
41.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,41
42.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,42
42.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,42
43.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,43
43.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,43
44.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,44
44.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,44
44.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,44
45.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,45
45.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,45
46.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,46
46.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,46
46.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,47
47.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,47
47.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,48
48.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,48
48.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,48
49.21,0x402f,0,close,close,open,close,open,open,open,open,close,close,49
49.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,49
50.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,50
50.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,50
51.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,51
51.11,0x402f,0,close,close,open,close,open,open,open,open,close,close,51
51.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,51
52.01,0x402f,0,close,close,open,close,open,open,open,open,close,close,52
52.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,52
53.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,53
53.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,53
53.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,54
54.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,54
54.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,55
55.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,55
55.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,55
56.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,56
56.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,56
57.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,57
58.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,58
58.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,58
59.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,59
59.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,60
60.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,60
60.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,61
61.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,61
61.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,61
62.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,62
62.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,62
63.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,63
63.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,63
64.11,0x402f,0,close,close,open,close,open,open,open,open,close,close,64
64.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,64
65.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,65
65.51,0x402f,0,close,close,open,close,open,open,open,open,close,close,65
66.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,66
66.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,66
